#1							
#Basel							
# 48.34         7.45          283.7            1							
#							
# hy	Ta	G_Bh	G_Dh	RH	N	FF	DD
double tab1(1776,8)							
391	-1.75	0	0	81	100	8.47	257.74
392	-1.75	0	0	81	100	7.24	264.29
393	-1.75	0	0	83	100	9.01	267.71
394	-1.75	0	0	78	100	12.37	261.63
395	-1.75	0	0	73	100	13.76	263.99
396	-1.75	0	0	70	100	14.4	271.43
397	-1.75	0	0	67	100	13.98	281.89
398	-1.75	0	0	60	100	10.37	290.32
399	-1.75	0	0	58	100	11.04	289.03
400	-1.75	0	0	59	100	11.53	284.47
401	-1.75	0	0	62	100	11.53	284.47
402	-1.75	0	0	67	100	10.31	282.09
403	-1.75	0	0	72	100	9.42	276.58
404	-1.75	0	0	75	100	7.93	267.4
405	-1.75	0	0	78	100	7.77	256.61
406	-1.75	0	0	81	100	8.05	243.43
407	-1.75	0	0	85	100	8.29	235.62
408	-1.75	0	0	86	100	7.65	221.19
409	-1.75	0	0	85	100	7.73	207.76
410	-1.75	0	0	85	100	6.38	196.39
411	-1.75	0	0	85	100	5.59	194.93
412	-1.75	0	0	82	100	6.13	183.37
413	-1.75	0	0	81	100	5.77	176.42
414	-1.75	0	0	82	100	5.8	172.87
415	-1.75	0	0	83	100	5.15	167.91
416	-1.75	0	0	82	100	3.89	146.31
417	-1.75	0	0	81	100	4.02	153.43
418	-1.75	0	0	78	100	4.33	138.37
419	-1.75	0	0	71	100	5.59	104.93
420	-1.75	0	0	67	100	6.64	77.47
421	-1.75	0	0	65	100	5.19	33.69
422	-1.75	0	0	61	100	4.83	26.57
423	-1.75	0	0	59	100	7.21	357.14
424	-1.75	0	0	59	100	9.69	344.93
425	-1.75	0	0	60	100	8.56	337.75
426	-1.75	0	0	64	100	6.99	325.49
427	-1.75	0	0	67	100	5.48	293.2
428	-1.75	0	0	69	100	4.74	261.25
429	-1.75	0	0	71	100	3.88	248.2
430	-1.75	0	0	73	100	3.83	228.81
431	-1.75	0	0	76	100	3.4	237.99
432	-1.75	0	0	78	100	2.81	219.81
433	-1.75	0	0	81	100	3.55	203.96
434	-1.75	0	0	83	100	3.88	201.8
435	-1.75	0	0	85	100	3.26	186.34
436	-1.75	0	0	86	100	2.52	180
437	-1.75	0	0	86	100	3.24	180
438	-1.75	0	0	86	100	3.42	161.57
439	-1.75	0	0	86	100	3.4	147.99
440	-1.75	0	0	87	100	3.67	101.31
441	-1.75	0	0	92	100	4.32	90
442	-1.75	0	0	91	100	1.94	111.8
443	-1.75	0	0	82	100	1.44	90
444	-1.75	0	0	75	100	1.61	63.43
445	-1.75	0	0	67	100	2.62	15.95
446	-1.75	0	0	63	100	5.99	32.74
447	-1.75	0	0	58	100	6.88	353.99
448	-1.75	0	0	57	100	7.42	337.17
449	-1.75	0	0	59	100	7.41	330.95
450	-1.75	0	0	61	100	6.7	323.75
451	-1.75	0	0	64	100	4.74	278.75
452	-1.75	0	0	66	100	4.45	255.96
453	-1.75	0	0	68	100	4.35	245.56
454	-1.75	0	0	70	100	4.2	239.04
455	-1.75	0	0	73	100	3.6	233.13
456	-1.75	0	0	75	100	1.61	243.43
