m	dofm	dofy	hi	Ta	G_Gh	Td	RH	G_Dh	FF	DD	Lin	RR	Sd	N	hs	TL	G_Bn	G_Gc	G_Dc	Gex	G_Ghmod	PAR	Snd	Lup
-	-	-	-	[°C]	[W/m2]	[°C]	[%]	[W/m2]	[m/s]	[°]	[W/m2]	[mm]	[min]	[octas]	[°]	[-]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[W/m2]	[mm]	[W/m2]
1	6	6	12	-1.9	22	-3.0	92.0	22	6.0	90	272	0.0	0.0	8.0	14.45	2.48	0	226	49	352.3	25.3	11	51	306
1	6	6	13	-2.3	28	-3.4	92.0	28	7.0	90	270	0.0	0.0	8.0	14.94	2.48	0	236	50	364.0	26.4	14	51	304
1	6	6	14	-2.1	22	-3.4	91.0	22	5.0	90	271	0.0	0.0	8.0	13.17	2.48	0	202	47	321.7	22.6	11	51	305
1	6	6	15	-2.0	17	-3.0	93.0	17	6.0	90	271	0.5	0.0	8.0	9.30	2.48	0	132	37	228.1	14.7	9	53	305
1	6	6	16	-1.8	3	-3.1	91.0	3	6.0	90	272	0.2	0.0	8.0	3.64	2.48	0	47	22	89.7	5.3	2	54	306
1	6	6	17	-1.3	0	-2.7	90.0	0	5.0	110	275	0.1	0.0	8.0	0.27	2.48	0	0	0	0.0	0.0	0	54	304
1	6	6	18	-1.1	0	-2.8	88.0	0	5.0	90	276	0.1	0.0	8.0	-11.49	2.48	0	0	0	0.0	0.0	0	55	305
1	6	6	19	-0.9	0	-2.6	88.0	0	4.0	90	277	0.3	0.0	8.0	-20.25	2.48	0	0	0	0.0	0.0	0	56	304
1	6	6	20	-0.8	0	-2.4	89.0	0	5.0	90	277	4.7	0.0	8.0	-29.35	2.48	0	0	0	0.0	0.0	0	79	306
1	6	6	21	-0.7	0	-2.4	88.0	0	5.0	90	278	1.5	0.0	8.0	-38.43	2.48	0	0	0	0.0	0.0	0	87	307
1	6	6	22	-0.6	0	-2.0	90.0	0	4.0	90	278	0.7	0.0	8.0	-46.99	2.48	0	0	0	0.0	0.0	0	90	306
1	6	6	23	-0.7	0	-2.3	89.0	0	6.0	100	297	0.6	0.0	8.0	-54.28	2.48	0	0	0	0.0	0.0	0	93	308
1	6	6	24	-0.8	0	-2.4	89.0	0	5.0	90	296	0.1	0.0	8.0	-59.08	2.48	0	0	0	0.0	0.0	0	93	306
1	7	7	1	-1.4	0	-2.2	94.0	0	5.0	100	293	0.0	0.0	8.0	-59.91	2.37	0	0	0	0.0	0.0	0	93	304
1	7	7	2	-1.5	0	-2.2	95.0	0	4.0	90	293	0.1	0.0	8.0	-56.66	2.37	0	0	0	0.0	0.0	0	94	302
1	7	7	3	-1.6	0	-2.4	94.0	0	5.0	90	292	0.0	0.0	8.0	-50.30	2.37	0	0	0	0.0	0.0	0	93	303
1	7	7	4	-1.8	0	-2.4	96.0	0	5.0	90	291	0.0	0.0	8.0	-42.18	2.37	0	0	0	0.0	0.0	0	93	302
1	7	7	5	-2.0	0	-2.3	98.0	0	6.0	90	290	0.0	0.0	8.0	-33.26	2.37	0	0	0	0.0	0.0	0	93	302
1	7	7	6	-2.1	0	-2.1	100.0	0	6.0	90	290	0.0	0.0	8.0	-24.12	2.37	0	0	0	0.0	0.0	0	93	301
1	7	7	7	-1.9	0	-2.3	97.0	0	5.0	90	291	0.0	0.0	8.0	-15.17	2.37	0	0	0	0.0	0.0	0	93	301
1	7	7	8	-1.8	0	-1.9	99.0	0	5.0	100	272	0.0	0.0	8.0	-6.74	2.37	0	0	0	0.0	0.0	0	93	302
1	7	7	9	-1.8	3	-1.9	99.0	3	5.0	90	272	0.0	0.1	8.0	4.15	2.37	0	17	10	30.3	3.0	2	93	305
1	7	7	10	-1.6	19	-2.0	97.0	19	6.0	90	273	0.0	0.2	8.0	7.13	2.37	0	96	30	175.3	16.7	9	93	307
1	7	7	11	-1.4	42	-1.4	100.0	42	6.0	100	274	0.0	0.4	8.0	11.83	2.37	0	179	41	289.5	31.2	20	92	308
1	7	7	12	-1.2	47	-1.9	95.0	47	6.0	90	275	0.0	0.3	8.0	14.56	2.37	0	231	47	354.9	40.3	23	92	309
1	7	7	13	-1.3	33	-2.1	94.0	33	6.0	100	275	0.0	0.0	8.0	15.07	2.37	0	242	48	366.9	42.1	17	92	309
1	7	7	14	-1.6	33	-2.6	93.0	33	6.0	90	273	0.0	0.2	8.0	13.31	2.37	0	208	45	324.9	36.2	16	92	307
1	7	7	15	-1.9	22	-2.9	93.0	19	6.0	100	272	0.0	0.0	8.0	9.44	2.37	18	136	36	231.6	23.8	11	92	306
1	7	7	16	-2.3	3	-2.9	96.0	3	6.0	100	270	0.0	0.2	8.0	3.79	2.37	0	50	22	93.4	8.7	2	92	303
1	7	7	17	-2.1	0	-2.1	100.0	0	4.0	100	271	0.0	0.0	8.0	0.42	2.37	0	0	0	0.0	0.0	0	92	299
1	7	7	18	-1.9	0	-2.3	97.0	0	4.0	100	272	0.5	0.0	8.0	-11.34	2.37	0	0	0	0.0	0.0	0	94	300
1	7	7	19	-1.7	0	-3.3	89.0	0	5.0	110	273	0.8	0.0	8.0	-20.10	2.37	0	0	0	0.0	0.0	0	98	302
1	7	7	20	-1.8	0	-3.8	86.0	0	6.0	100	272	2.2	0.0	8.0	-29.20	2.37	0	0	0	0.0	0.0	0	109	303
1	7	7	21	-2.8	0	-4.4	89.0	0	4.0	90	252	0.1	0.0	8.0	-38.28	2.37	0	0	0	0.0	0.0	0	109	296
1	7	7	22	-3.4	0	-4.7	91.0	0	5.0	100	218	0.3	0.0	8.0	-46.84	2.37	0	0	0	0.0	0.0	0	111	295
1	7	7	23	-4.1	0	-5.2	92.0	0	6.0	90	213	0.0	0.0	8.0	-54.13	2.37	0	0	0	0.0	0.0	0	110	293
1	7	7	24	-4.6	0	-5.4	94.0	0	5.0	100	213	0.2	0.0	8.0	-58.94	2.37	0	0	0	0.0	0.0	0	111	289
1	8	8	1	-5.1	0	-6.1	93.0	0	6.0	100	208	0.0	0.0	8.0	-59.79	2.34	0	0	0	0.0	0.0	0	111	288
1	8	8	2	-5.6	0	-6.7	92.0	0	5.0	100	274	0.5	0.0	8.0	-56.58	2.34	0	0	0	0.0	0.0	0	114	285
1	8	8	3	-5.4	0	-6.5	92.0	0	6.0	100	274	0.0	0.0	8.0	-50.24	2.34	0	0	0	0.0	0.0	0	113	287
1	8	8	4	-5.6	0	-7.0	90.0	0	6.0	110	274	0.0	0.0	8.0	-42.14	2.34	0	0	0	0.0	0.0	0	113	286
1	8	8	5	-5.5	0	-6.6	92.0	0	5.0	100	274	0.0	0.0	8.0	-33.23	2.34	0	0	0	0.0	0.0	0	113	286
